code,city,airport,country,provider,base,lat,lon
AAQ,Anapa/Olkhovka,Anapa Airport,Russia,SITA,136.975,45.0000,37.3500
ABE,Allentown/PA,Lehigh Valley Int’l Airport,USA,SITA,136.85,40.6500,-75.4333
ABI,Abilene/TX,Abilene Rgnl,USA,SITA,136.85,32.4167,-99.6833
ABJ,Abidjan,Felix Houphouet Boigny Int’l Airport,Ivory Coast,SITA,131.725,5.2500,-3.9333
ABQ,Albuquerque/NM,Albuquerque Int’l Sunport,USA,SITA,136.85,35.0500,-106.6167
ABV,Abuja,Nnamdi Azikwe International Airport,Nigeria,SITA,131.725,9.0000,7.2500
ABY,Albany/GA,Southwest Georgia Rgnl,USA,SITA,136.85,31.5333,-84.1833
ABZ,Aberdeen,Dyce,United Kingdom,SITA,131.725,57.2000,-2.2000
ACA,Acapulco,General Juan N Alvarez Int’l,Mexico,SITA,131.725,16.7500,-99.7500
ACC,Accra,Kotoka Intl,Ghana,SITA,131.725,5.6000,-0.1667
ACE,Arrecife,Lanzarote,Spain,ENAIRE,131.725,28.9500,-13.6000
ACH,Altenrhein,St-Gallen - Altenrhein Airport,Switzerland,SITA,131.725,47.4833,9.5500
ACK,Nantucket/MA,Nantucket Memorial Airport,USA,SITA,136.85,41.2500,-70.0500
ACT,Waco/TX,Waco Rgnl Airport,USA,SITA,136.85,31.6000,-97.2167
ACV,McKinleyville/CA,Arcata,USA,SITA,136.85,40.9667,-124.1000
ACY,Egg Harbour Township/NJ,Atlantic City Int’l Airport,USA,SITA,136.85,39.4500,-74.5667
ADA,Adana,Adana Airport,Turkey,SITA,131.725,36.9833,35.2833
ADB,Izmir,Adnan Menderes Airport,Turkey,SITA,131.725,38.2833,27.1500
ADD,Addis Ababa,Bole Int’l Airport,Ethiopia,SITA,131.725,8.9833,38.7833
ADL,Adelaide,Adelaide Int’l Airport,Australia,SITA,131.55,-34.9333,138.5333
ADZ,San Andres,Gustavo Rojas Pinilla Airport,Colombia,SITA,131.725,12.5833,-81.7000
AEP,Ciudad Autonoma de Buenos Aires,Aeroparque Jorge Newbery,Argentina,SITA,131.725,-34.5500,-58.4167
AER,Sochi,Adler/Sochi Airport,Russia,SITA,131.725,43.4333,39.9500
AES,Alesund,Vigra,Norway,SITA,131.725,62.5500,6.1167
AFL,Cachimbo,Cachimbo Airport,Brazil,SITA,131.55,-9.3500,-54.9000
AFW,Fort Worth/TX,Fort Worth Alliance,USA,SITA,136.85,32.9833,-97.3167
AGA,Agadir,Al Massira,Morocco,SITA,131.725,30.3167,-9.4000
AGC,West Mifflin/PA,Allegheny County Airport,USA,SITA,136.85,40.3500,-79.9167
AGM,Angmagssalik,Tasiilaq,Greenland,SITA,131.725,65.6000,-37.6333
AGP,Malaga,Malaga,Spain,ENAIRE,131.725,36.6667,-4.4833
AGS,Augusta/GA,Augusta Regional At Bush Field,USA,SITA,136.85,33.3667,-81.9667
AHB,Abha,Abha Airport,Saudi Arabia,GACA,131.725,18.2333,42.6500
AIF,Assis,Aeroporto Marcelo Pires Holzhausen,Brazil,SITA,131.55,-22.6333,-50.4500
AJA,Ajaccio,Ajaccio Napoléon Bonaparte,France,SITA,131.725,41.9167,8.7833
AJF,Al Jouf,Al Jouf Airport,Saudi Arabia,GACA,131.725,29.7833,40.1000
AKJ,Asahikawa,Asahikawa Airport,Japan,Avicom,131.45,43.6667,142.4500
AKL,Auckland,Auckland Int’l Airport,New Zealand,SITA,131.55,-37.0000,174.7667
ALA,Almaty,Almaty Int’l Airport,Kazakhstan,SITA,131.725,43.3333,77.0000
ALB,Albany/NY,Albany Int’l Airport,USA,SITA,136.85,42.7333,-73.8000
ALC,Alicante,Alicante Airport,Spain,ENAIRE,131.725,38.2833,-0.5667
ALF,Alta,Alta Airport,Norway,SITA,131.725,69.9667,23.3333
ALG,Algiers,Houari Boumediene Airport,Algeria,SITA,131.725,36.7000,3.2000
ALS,Alamosa/CO,San Luis Valley Rgnl Bergman Field,USA,SITA,136.85,37.4333,-105.8667
AMA,Amarillo/TX,Rick Husband Amarillo Int’l,USA,SITA,136.85,35.2000,-101.7167
AMD,Ahmedabad,Sardar Vallabhbhai Patel Int’l Airport,India,SITA,131.725,23.0667,72.6167
AMM,Amman,Queen Alia Int’l Airport,Jordan,SITA,131.725,31.7167,35.9833
AMQ,Ambon,Pattimura Airport (AMQ),Indonesia,SITA,131.55,-3.7000,128.0833
AMS,Amsterdam,Schiphol,Netherlands,SITA,131.725,52.3000,4.7667
ANC,Anchorage/AK,Ted Stevens Anchorage Int’l,USA,SITA,136.85,61.1667,-149.9833
ANF,Antofagasta,Aeropuerto Andres Sabella de Antofagasta,Chile,SITA,131.725,-23.4333,-70.4333
ANU,Antigua,V.C. Bird Int’l Airport,Antigua,SITA,131.725,17.1333,-61.7833
AOJ,Aomori,Aomori Airport,Japan,Avicom,131.45,40.7333,140.7000
AOR,Alor Setar,"Sultan Abdul Halim Airport, Kedah Darul Aman",Malaysia,SITA,131.55,6.2000,100.4000
APA,Englewood/CO,Centennial Airport,USA,SITA,136.85,39.5667,-104.8333
APC,Napa/CA,Napa County,USA,SITA,136.85,38.2000,-122.2833
APF,Naples/FL,Naples Municipal Airport,USA,Harris,136.85,26.1500,-81.7667
APW,Apia,Faleolo Int’l Airport,Samoa,SITA,131.55,-13.8333,-171.8333
AQP,Arequipa,Rodriguez Ballon Int’l Airport,Peru,SITA,131.725,-16.3333,-71.5667
ARH,Arkhangelsk,Arkhangelsk - Talagi Airport,Russia,SITA,131.725,64.6000,40.7167
ARI,Arica,Chaculluta Int’l Airport,Chile,SITA,131.725,-18.3500,-70.3333
ARN,Stockholm,Arlanda Int’l Airport,Sweden,SITA,131.725,59.6500,17.9333
ASB,Ashgabat,Ashgabat International airport,Turkmenistan,SITA,131.725,37.9667,58.3667
ASE,Aspen/CO,Aspen-Pitkin County Airport,USA,SITA,136.85,39.2167,-106.8667
ASF,Astrakhan,Narimanovo Airport,Russia,SITA,131.725,46.2833,48.0000
ASJ,Amami,Amami Airport,Japan,Avicom,131.45,28.4167,129.7000
ASP,Alice Spring,Alice Spring Airport,Australia,SITA,131.55,-23.8000,133.8833
ASU,Asuncion,Silvio Pettirossi Int’l,Paraguay,SITA,131.725,-25.2333,-57.5167
ATH,Athens,Eleftherios Venizelos Int’l,Greece,SITA,131.725,37.9167,23.9333
ATL,Atlanta/GA,Hartsfield Jackson Int’l,USA,SITA,136.85,33.6333,-84.4333
ATW,Appleton/WI.,Outagamie County Rgnl,USA,SITA,136.85,44.2500,-88.5000
AUA,Aruba,Reina Beatrix Int’l,Aruba,SITA,131.725,12.5000,-70.0000
AUH,Abu Dhabi,Abu Dhabi Int’l,United Arab Emirates,SITA,131.725,24.4333,54.6500
AUS,Austin/TX,Austin Bergstrom Int’l,USA,SITA,136.85,30.1667,-97.6667
AVL,Asheville/NC,Asheville Rgnl,USA,SITA,136.85,35.4333,-82.5333
AVP,Wilkes-Barre/Scranton/PA,Wilkes-Barre/Scranton Int’l,USA,SITA,136.85,41.3333,-75.7333
AVV,Avalon,Avalon Airport,Australia,SITA,131.55,-38.0333,144.4667
AXM,Armeria,El Eden,Colombia,SITA,131.725,4.4500,-75.7667
AXT,Akita,Akita Airport,Japan,Avicom,131.45,39.6000,140.2167
AYQ,Ayers Rock,Ayers Rock Connellan,Australia,SITA,131.55,-25.1833,130.9667
AYT,Antalya,Antalya Int’l,Turkey,SITA,131.725,36.9000,30.8000
AZO,Kalamazoo/MI,Kalamazoo Battle Creek Int’l,USA,SITA,136.85,42.2333,-85.5500
AZR,Adrar,Adrar Touat Cheik Sidi Mohamed Belkebir Airport,Algeria,SITA,131.725,27.8333,-0.1833
AZS,Samana,Samana El Catey International Airport,Dominican Republic,SITA,131.725,19.2667,-69.7333
BAH,Bahrain,Bahrain Int’l,Bahrain,SITA,131.725,26.2667,50.6167
BAQ,Barranquilla,Ernesto Cortissoz,Colombia,SITA,131.725,10.8833,-74.7833
BAZ,Barcelos,Aeroporto Municipal de Barcelos,Brazil,SITA,131.55,-0.9667,-62.9167
BBA,Balmaceda,Teniente Vidal,Chile,SITA,131.725,-45.9000,-71.6833
BBI,Bhubaneswar,Biju Patnaik International Airport,India,SITA,131.725,20.2333,85.8167
